Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Gray Heron,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
2,Purple Heron,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
3,Intermediate Egret,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
4,Indian Pond-Heron,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
5,Red-wattled Lapwing,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
6,Common Sandpiper,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
7,Wood Sandpiper,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
8,Blue-tailed Bee-eater,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
9,Black Drongo,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
10,Jerdon's Bushlark,2,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
11,Oriental Skylark,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
12,Pied Bushchat,2,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
13,Western Yellow Wagtail,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
14,Paddyfield Pipit,1,Hennagara Lake,IN-KA,26 Mar 2016,L2638593,S31221243
15,Little Egret,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
16,Cattle Egret,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
17,Ruddy-breasted Crake,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
18,Eurasian Coot,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
19,Little Ringed Plover,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
20,Paddyfield Warbler,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
21,Baya Weaver,2,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
22,Scaly-breasted Munia,1,Hennagara Lake,IN-KA,29 Mar 2016,L2638593,S30464585
23,Lesser Whistling-Duck,6,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
24,Jungle Bush-Quail,4,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
25,Little Grebe,50,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
26,Little Cormorant,5,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
27,Indian Cormorant,3,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
28,Oriental Darter,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
29,Great Egret,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
30,Shikra,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
31,Black Kite,4,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
32,Brahminy Kite,2,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
33,Rock Pigeon,2,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
34,Spotted Dove,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
35,Greater Coucal,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
36,Asian Koel,2,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
37,Common Cuckoo,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
38,Pied Kingfisher,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
39,Indian Roller,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
40,Rose-ringed Parakeet,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
41,Common Iora,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
42,Brown Shrike,2,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
43,House Crow,3,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
44,Barn Swallow,50,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
45,Red-vented Bulbul,3,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
46,Red-whiskered Bulbul,2,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
47,Ashy Prinia,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
48,Plain Prinia,1,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
49,Yellow-billed Babbler,3,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
50,Indian Robin,2,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
51,Common Myna,6,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
52,Jungle Myna,5,Hennagara Lake,IN-KA,15 Oct 2016,L2638593,S32042837
53,Indian Spot-billed Duck,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
54,Green-winged Teal,1,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
55,Spot-billed Pelican,3,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
56,Glossy Ibis,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
57,Gray-headed Swamphen,4,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
58,Eurasian Moorhen,1,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
59,Pheasant-tailed Jacana,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
60,River Tern,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
61,Laughing Dove,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
62,White-throated Kingfisher,1,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
63,Large-billed Crow,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
64,Red-rumped Swallow,3,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
65,Siberian Stonechat,1,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
66,Brahminy Starling,4,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
67,Gray Wagtail,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
68,White-browed Wagtail,1,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
69,Streaked Weaver,1,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
70,Red Avadavat,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
71,Tricolored Munia,2,Hennagara Lake,IN-KA,30 Oct 2016,L2638593,S32308386
72,Northern Pintail,5,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
73,Gray Francolin,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
74,Oriental Honey-buzzard,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
75,Short-toed Snake-Eagle,2,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
76,Indian Spotted Eagle,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
77,Eurasian Marsh-Harrier,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
78,Baillon's Crake,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
79,Black-winged Stilt,2,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
80,Common Snipe,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
81,Pin-tailed Snipe,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
82,Marsh Sandpiper,2,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
83,Whiskered Tern,2,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
84,Common Hawk-Cuckoo,2,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
85,Eurasian Kestrel,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
86,Zitting Cisticola,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
87,Citrine Wagtail,1,Hennagara Lake,IN-KA,31 Oct 2016,L2638593,S32308365
88,Garganey,4,Hennagara Lake,IN-KA,01 Nov 2016,L2638593,S32322257
89,Northern Shoveler,2,Hennagara Lake,IN-KA,01 Nov 2016,L2638593,S32322257
90,Green Bee-eater,5,Hennagara Lake,IN-KA,01 Nov 2016,L2638593,S32322257
91,Booted Warbler,1,Hennagara Lake,IN-KA,01 Nov 2016,L2638593,S32322257
92,Great Cormorant,1,Hennagara Lake,IN-KA,02 Nov 2016,L2638593,S32349674
93,Rosy Starling,4,Hennagara Lake,IN-KA,02 Nov 2016,L2638593,S32349674
94,Purple-rumped Sunbird,1,Hennagara Lake,IN-KA,02 Nov 2016,L2638593,S32349674
95,Indian Silverbill,2,Hennagara Lake,IN-KA,02 Nov 2016,L2638593,S32349674
96,Comb Duck,2,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
97,Yellow-wattled Lapwing,1,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
98,Gray-headed Lapwing,1,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
99,Common Kingfisher,1,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
100,Peregrine Falcon,1,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
101,Oriental Magpie-Robin,1,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
102,Black-headed Ibis,3,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
103,Booted Eagle,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
104,White-breasted Waterhen,2,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
105,Greater Painted-Snipe,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
106,Eurasian Hoopoe,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
107,Indian Golden Oriole,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
108,Rufous Treepie,2,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
109,Blyth's Reed Warbler,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
110,Clamorous Reed Warbler,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
111,Common Tailorbird,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
112,Chestnut-tailed Starling,2,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
113,Purple Sunbird,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
114,Long-billed Sunbird,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
115,Red-headed Bunting,1,Hennagara Lake,IN-KA,05 Nov 2016,L2638593,S32379343
