Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Lesser Whistling-Duck,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
2,Bar-headed Goose,500,Hadinaru Lake,IN-KA,08 Feb 2015,L3355147,S21779513
3,Graylag Goose,4,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
4,Comb Duck,2,Hennagara Lake,IN-KA,04 Nov 2016,L2638593,S32361185
5,Ruddy Shelduck,2,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
6,Cotton Pygmy-Goose,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
7,Garganey,2,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
8,Northern Shoveler,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
9,Gadwall,4,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
10,Falcated Duck,1,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
11,Eurasian Wigeon,2,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
12,Indian Spot-billed Duck,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
13,Eastern Spot-billed Duck,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
14,Mallard,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
15,Northern Pintail,10,"Kunthur Lake, Kollegal",IN-KA,08 Feb 2015,L3355154,S21779516
16,Green-winged Teal,1,Kavdi ,IN-MH,23 Dec 2014,L4775757,S30628576
17,White-winged Duck,2,Nameri NP,IN-AS,29 Dec 2015,L2182902,S26580915
18,Red-crested Pochard,4,Rasik beel,IN-WB,13 Dec 2016,L5148097,S33023464
19,Common Pochard,2,Rasik beel,IN-WB,13 Dec 2016,L5148097,S33023464
20,Ferruginous Duck,2,Rasik beel,IN-WB,13 Dec 2016,L5148097,S33023464
21,Tufted Duck,5,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
22,Common Merganser,1,Nameri NP,IN-AS,29 Dec 2015,L2182902,S26580915
23,Indian Peafowl,1,"River Tern Lodge, JLR, Karnataka",IN-KA,23 May 2015,L3684021,S23703523
24,Red Spurfowl,1,Bandipur NP--Forest Headquarters,IN-KA,23 Aug 2015,L2386799,S24948339
25,Painted Spurfowl,1,Hampi,IN-KA,12 Nov 2015,L4022532,S26601604
26,Chukar,2,Upshi,IN-JK,06 Jul 2017,L4496960,S38830571
27,Jungle Bush-Quail,1,"Chunchi Falls, Karnataka",IN-KA,01 May 2015,L3603767,S23156572
28,Rock Bush-Quail,2,Jayamangali Blackbuck Reserve,IN-KA,27 Aug 2017,L2407928,S39097619
29,Gray Francolin,1,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
30,Red Junglefowl,1,Kaziranga NP--Western Range,IN-AS,27 Dec 2015,L1131604,S26580943
31,Gray Junglefowl,1,Valley School,IN-KA,29 Mar 2015,L2407941,S22568085
32,Little Grebe,4,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
33,Great Crested Grebe,4,"Teesta Barrage, Gajoldoba",IN-WB,17 Dec 2016,L2648520,S33129670
34,Chilean Flamingo,1,San Francisco Zoo,US-CA,30 Aug 2010,L638260,S32587693
35,Greater Flamingo,100,Pulicat Bird Sanctuary--SHAR,IN-AP,06 Mar 2016,L3167817,S31729829
36,Asian Openbill,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
37,Black Stork,1,Nameri NP,IN-AS,29 Dec 2015,L2182902,S26580915
38,Woolly-necked Stork,2,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
39,Black-necked Stork,1,"Alipore Zoo, Kolkata",IN-WB,08 Feb 2006,L2715112,S31717230
40,Lesser Adjutant,1,Rasikbill,IN-WB,25 Dec 2013,L4938675,S23577191
